,批次序号,原片材质,原片序号,产品id,产品x坐标,产品y坐标,产品x方向长度,产品y方向长度
0,1,ZQB-0218S,1,30809,2101.0,0,339.0,354.0
1,1,ZQB-0218S,1,30874,2101.0,354.0,339.0,354.0
2,1,ZQB-0218S,1,30922,2101.0,708.0,339.0,354.0
3,1,ZQB-0218S,1,30524,0,0,2101.0,1151.0
4,1,ZQB-0218S,2,30958,1262.0,0,58.0,961.0
5,1,ZQB-0218S,2,30517,1320.0,0,1090.0,901.5
6,1,ZQB-0218S,2,30985,1320.0,901.5,1090.0,58.0
7,1,ZQB-0218S,2,30985,1320.0,901.5,1090.0,58.0
8,1,ZQB-0218S,3,30713,2059.5,0,358.0,960.0
9,1,ZQB-0218S,3,30984,0,0,1701.5,960.0
10,1,ZQB-0218S,3,30984,0,0,1701.5,960.0
11,1,ZQB-0218S,4,30538,0,0,2001.0,942.0
12,1,ZQB-0218S,4,30538,0,0,2001.0,942.0
13,1,ZQB-0218S,5,30547,2341.0,353.0,92.5,353.0
14,1,ZQB-0218S,5,30909,0,0,2341.0,927.0
15,1,ZQB-0218S,5,30909,0,0,2341.0,927.0
16,1,ZQB-0218S,6,30968,0,0,2396.0,847.0
17,1,ZQB-0218S,6,30968,0,0,2396.0,847.0
18,1,ZQB-0218S,7,30589,1037.5,0,734.0,812.0
19,1,ZQB-0218S,7,30542,0,0,1037.5,812.0
20,1,ZQB-0218S,7,30666,1771.5,0,379.5,812.0
21,1,ZQB-0218S,7,30671,2151.0,457.5,289.0,315.5
22,1,ZQB-0218S,7,30671,2151.0,457.5,289.0,315.5
23,1,ZQB-0218S,8,30281,1951.0,0,489.0,509.5
24,1,ZQB-0218S,8,30451,1951.0,509.5,489.0,292.0
25,1,ZQB-0218S,8,30451,1951.0,509.5,489.0,292.0
26,1,ZQB-0218S,9,30290,906.5,0,525.0,810.0
27,1,ZQB-0218S,9,30385,1431.5,0,733.0,792.0
28,1,ZQB-0218S,9,30265,2164.5,0,275.3,486.0
29,1,ZQB-0218S,9,30265,2164.5,0,275.3,486.0
30,1,ZQB-0218S,10,30329,0,0,1918.5,763.0
31,1,ZQB-0218S,10,30329,0,0,1918.5,763.0
32,1,ZQB-0218S,11,30247,1931.0,0,509.0,637.0
33,1,ZQB-0218S,11,30247,1931.0,0,509.0,637.0
34,1,ZQB-0218S,12,30878,0,0,2026.0,754.0
35,1,ZQB-0218S,12,30878,0,0,2026.0,754.0
36,1,ZQB-0218S,13,30912,1032.0,0,228.0,744.5
37,1,ZQB-0218S,13,30813,0,0,1032.0,744.5
38,1,ZQB-0218S,13,30813,0,0,1032.0,744.5
39,1,ZQB-0218S,14,30810,1367.0,0,547.0,742.0
40,1,ZQB-0218S,14,30256,1914.0,0,511.0,560.0
41,1,ZQB-0218S,14,30256,1914.0,0,511.0,560.0
42,1,ZQB-0218S,15,30453,0,0,2281.0,736.0
43,1,ZQB-0218S,15,30801,2281.0,0,58.0,736.0
44,1,ZQB-0218S,15,30801,2281.0,0,58.0,736.0
45,1,ZQB-0218S,16,30288,1521.0,0,538.0,732.0
46,1,ZQB-0218S,16,30849,962.0,0,559.0,732.0
47,1,ZQB-0218S,16,30313,2059.0,0,381.0,495.0
48,1,ZQB-0218S,16,30313,2059.0,0,381.0,495.0
49,1,ZQB-0218S,17,30882,0,0,2306.0,720.0
50,1,ZQB-0218S,17,30882,0,0,2306.0,720.0
51,1,ZQB-0218S,18,30767,1340.0,0,439.0,711.0
52,1,ZQB-0218S,18,30781,1779.0,0,661.0,662.0
53,1,ZQB-0218S,18,30640,0,0,782.0,711.0
54,1,ZQB-0218S,18,30640,0,0,782.0,711.0
55,1,ZQB-0218S,19,30899,2124.0,0,314.0,489.0
56,1,ZQB-0218S,19,30333,0,0,1062.0,699.0
57,1,ZQB-0218S,19,30932,1062.0,0,1062.0,699.0
58,1,ZQB-0218S,19,30932,1062.0,0,1062.0,699.0
59,1,ZQB-0218S,20,30242,1808.0,0,598.0,648.0
60,1,ZQB-0218S,20,30242,1808.0,0,598.0,648.0
61,1,ZQB-0218S,21,30654,0,0,778.0,679.0
62,1,ZQB-0218S,21,30284,2201.5,438.0,238.0,158.0
63,1,ZQB-0218S,21,30946,1500.0,0,701.5,605.0
64,1,ZQB-0218S,21,30951,778.0,0,722.0,661.0
65,1,ZQB-0218S,21,30951,778.0,0,722.0,661.0
66,1,ZQB-0218S,22,30828,2359.0,288.0,78.0,338.0
67,1,ZQB-0218S,22,30454,2301.0,0,58.0,662.0
68,1,ZQB-0218S,22,30574,0,0,2301.0,662.0
69,1,ZQB-0218S,22,30574,0,0,2301.0,662.0
70,1,ZQB-0218S,23,30762,963.0,0,558.5,598.0
71,1,ZQB-0218S,23,30788,1521.5,0,243.0,598.0
72,1,ZQB-0218S,23,30353,1764.5,0,660.0,574.0
73,1,ZQB-0218S,23,30553,1598.0,598.0,752.0,597.0
74,1,ZQB-0218S,23,30224,0,0,963.0,598.0
75,1,ZQB-0218S,23,30358,0,598.0,1598.0,598.0
76,1,ZQB-0218S,23,30358,0,598.0,1598.0,598.0
77,1,ZQB-0218S,24,30252,1976.0,475.0,463.0,48.0
78,1,ZQB-0218S,24,30330,1486.0,595.0,706.0,589.0
79,1,ZQB-0218S,24,30604,2192.0,595.0,248.0,397.5
80,1,ZQB-0218S,24,30879,0,0,959.0,595.0
